Lat,Long,City,Humidity,Temperature,Cloudiness,Wind Speed,Max Temperature,Country,Date
-13.1256,38.9997,montepuez,89,77.83,87,3.15,77.83,MZ,1615973194
40.8021,-124.1637,eureka,90,35.47,85,5.08,37,US,1615973195
-45.4167,167.7167,te anau,86,44.94,4,4.65,44.94,NZ,1615973195
51.6828,102.1408,kyren,76,25.81,78,4.12,25.81,RU,1615973195
62.1444,117.6319,suntar,84,21.97,100,7.74,21.97,RU,1615973195
-0.6,73.0833,hithadhoo,68,83.57,71,6.29,83.57,MV,1615973196
4.9247,6.2642,yenagoa,73,83.75,99,5.88,83.75,NG,1615973196
-38.0023,-57.5575,mar del plata,94,60.4,90,27.63,62.01,AR,1615973196
41.1415,-73.3579,westport,60,32.7,90,5.75,34,US,1615973196
-53.909604636454816,50.58507769851025,tsihombe,,,,,,,
-6.9811,-34.8339,cabedelo,100,71.6,20,7.7,71.6,BR,1615973197
-33.918,25.5701,port elizabeth,73,73.4,40,8.05,73.4,ZA,1615973114
51.2585,-80.6094,moose factory,100,13.08,75,3.44,14,CA,1615973198
29.5581,34.9482,elat,49,69.8,0,8.05,69.8,IL,1615973198
-9.8,-139.0333,atuona,70,80.29,46,8.81,80.29,PF,1615973198
28.16527678324411,81.8924732218664,nepalganj,,,,,,,
61.994,-49.6678,paamiut,87,15.51,100,15.77,15.51,GL,1615973199
64.8945,-23.7142,olafsvik,97,43.59,100,16.58,43.59,IS,1615973199
36.9903,-86.4436,bowling green,82,50.99,1,4.61,51.8,US,1615973199
20.15,92.9,akyab,49,83.17,4,12.57,83.17,MM,1615973199
20.931,-17.0347,nouadhibou,88,64.4,87,14.97,64.4,MR,1615973200
16.3333,-15.0,saint-louis,46,75.2,0,2.3,75.2,SN,1615973200
41.58230201367843,105.83272785340506,haibowan,,,,,,,
-24.7911,-50.0119,castro,95,61.65,69,3.09,61.65,BR,1615973201
45.6168,-72.9491,saint-hyacinthe,50,24.75,38,3.44,26.01,CA,1615973201
78.88225308167543,57.0548129903147,belushya guba,,,,,,,
35.1333,140.3,katsuura,50,57.72,100,11.54,60.01,JP,1615973202
4.9333,-52.3333,cayenne,100,75.9,20,2.3,79,GF,1615973202
-21.2,-175.2,vaini,100,73.4,20,4.61,73.4,TO,1615973202
67.32990404282828,-84.73421590892073,attawapiskat,,,,,,,
71.6872,128.8694,tiksi,99,-12.3,100,6.15,-12.3,RU,1615973203
-5.6667,132.75,tual,65,84.2,0,5.03,84.2,ID,1615973203
70.3705,31.1107,vardo,93,19.4,90,36.82,19.4,NO,1615973203
-2.0226,147.2712,lorengau,71,82.65,79,1.77,82.65,PG,1615973203
52.2667,79.1667,klyuchi,76,22.06,0,10.18,22.06,RU,1615973204
37.30517024405407,8.09203843068238,tabarqah,,,,,,,
63.4427,-20.2734,vestmannaeyjar,100,46.4,90,11.5,46.4,IS,1615973205
65.282,-126.8329,norman wells,83,-20.2,20,3.42,-20.2,CA,1615973205
22.2855,114.1577,victoria,61,77.31,0,8.01,82.99,HK,1615973205
20.7,-105.2,ixtapa,79,62.01,0,3.24,62.01,MX,1615973205
-22.9575,14.5053,walvis bay,63,66.2,0,6.91,66.2,NA,1615973205
58.92446745565397,-108.64937987177714,grand centre,,,,,,,
64.75,177.4833,anadyr,71,-7.6,0,4.47,-7.6,RU,1615973206
-43.3002,-65.1023,rawson,50,51.35,59,13.44,51.35,AR,1615973207
36.6412,52.9124,juybar,67,60.8,90,6.91,60.8,IR,1615973207
65.7,82.4667,krasnoselkup,93,24.75,100,18.03,24.75,RU,1615973207
64.2539,-15.2082,hofn,93,44.6,90,3.44,44.6,IS,1615973207
-17.6394,-71.3375,ilo,84,69.64,100,6.26,69.64,PE,1615973207
39.8885,4.2658,mao,58,59,0,10.36,59,ES,1615973208
41.4667,25.65,krumovgrad,62,46,100,6.29,46,BG,1615973208
54.7183,135.315,chumikan,78,19.13,89,3.87,19.13,RU,1615973208
-33.65,115.3333,busselton,69,78.6,3,5.99,82.99,AU,1615973208
61.67,96.37,baykit,86,22.93,100,7.78,22.93,RU,1615973208
21.3469,-158.0858,makakilo city,88,69.66,90,5.75,71.6,US,1615973209
45.4094,141.6739,wakkanai,93,32,75,25.32,32,JP,1615973172
64.5011,-165.4064,nome,85,12.69,90,11.5,12.99,US,1615973209
52.5249,111.5418,sosnovo-ozerskoye,78,22.24,98,4.81,22.24,RU,1615973209
52.7833,126.5333,ushumun,82,20.5,99,4.34,20.5,RU,1615973210
72.7868,-56.1549,upernavik,97,-2,100,5.7,-2,GL,1615973210
5.3505,48.5268,hobyo,66,85.39,30,17.25,85.39,SO,1615973210
-45.8667,-67.5,comodoro rivadavia,66,46.4,0,12.66,46.4,AR,1615973210
16.7833,94.7333,pathein,22,97.68,41,16.49,97.68,MM,1615973210
-21.3585,55.7679,saint-philippe,66,83.28,20,24.16,86,RE,1615973211
-28.8667,153.5667,ballina,94,67.39,75,5.75,68,AU,1615973211
